year	American Indian/Alaska Native	Asian/Pacific Islander	Black	Hispanic	Other	White
2005	53235	0	519189	3079762	0	1991948
2006	50809	0	503349	3113373	0	1929908
2007	49968	0	492925	3153706	0	1876139
2008	49006	751707	486328	3178798	223857	1835845
2009	47916	738034	455702	3240939	227990	1769676
2010	46468	740441	447375	3339101	197570	1760475
2011	46141	754163	443757	3425346	199550	1745725
2012	44432	756257	437314	3493562	211408	1733456
2013	42264	761108	429361	3560477	225183	1713567
2014	40507	771913	419073	3605697	238895	1690622
