year	American Indian/Alaska Native	Asian	Black	Hispanic	Other	White	All
2005	364	2471	44250	64267	0	20124	131476
2006	403	3798	48551	85125	0	24114	161991
2007	427	4377	48354	96241	0	27187	176586
2008	462	5887	48698	106470	0	29391	190908
2009	646	7502	52441	120450	0	33268	214371
2010	1048	8357	54788	133068	2560	35876	235915
2011	1126	9378	56935	149241	3182	39598	259671
2012	1050	10898	61232	167148	3743	44531	288843
2013	921	10164	63807	179932	4496	51129	310697
2014	1066	13770	66094	197339	5100	52909	336556
